iter	Logloss
143	0.3459180005
144	0.3451426866
145	0.3442861255
146	0.3435134393
147	0.3424380189
148	0.3415391797
149	0.3408020607
150	0.3398234973
151	0.3386307586
152	0.3375075679
153	0.3364799958
154	0.3355286856
155	0.3342475178
156	0.3331685607
157	0.3321745624
158	0.3315449246
159	0.3303444419
160	0.3295588353
161	0.3285726728
162	0.3273694862
163	0.3264549142
164	0.3259187021
165	0.3249226057
166	0.3238413245
167	0.3228267543
168	0.3219744886
169	0.321114795
170	0.3200012694
171	0.3191286668
172	0.3182594929
173	0.3174202196
174	0.3166652362
175	0.3155098974
176	0.3145092157
177	0.3138423003
178	0.3125635356
179	0.3115908119
180	0.3109490524
181	0.310049836
182	0.309158153
183	0.3085011552
184	0.3075091315
185	0.3064969326
186	0.3056843842
187	0.3047012359
188	0.3040461526
189	0.3027910667
190	0.3019996957
191	0.3010360549
192	0.3002376484
193	0.2994652837
194	0.2987745912
195	0.2980800842
196	0.2972651273
197	0.2966782811
198	0.2958301952
199	0.294986439
200	0.2941807584
201	0.2934746202
202	0.2925800883
203	0.291652358
204	0.2907659055
205	0.2900656697
206	0.2895295288
207	0.2888902353
208	0.2877803834
209	0.2868420057
210	0.285940717
211	0.2850801892
212	0.2842328089
213	0.2834712748
214	0.2828887782
215	0.2821975934
216	0.281418542
217	0.2805904384
218	0.2797246456
219	0.2790565773
220	0.2783195218
221	0.2777503583
222	0.2770202769
223	0.2762962506
224	0.2756164823
225	0.2748173112
226	0.2741214769
227	0.2732062322
228	0.2726542784
229	0.2716675896
230	0.2710103784
231	0.2704696446
232	0.2696610551
233	0.2690243561
234	0.2682690692
235	0.2677924683
236	0.2671874764
237	0.2665447716
238	0.2661171061
239	0.2654583486
240	0.2647265771
241	0.264176498
242	0.2636505414
243	0.2631630105
244	0.2624127175
245	0.2617342786
246	0.2607382095
247	0.2601747335
248	0.2594833103
249	0.2588169058
250	0.258075414
251	0.2573211041
252	0.2566800117
253	0.2560249557
254	0.2554625533
255	0.2549960359
256	0.2544224904
257	0.2538769142
258	0.2530323299
259	0.2523530801
260	0.2517505972
261	0.2511541946
262	0.2503797113
263	0.2493905077
264	0.2488175422
265	0.2477936601
266	0.2473454018
267	0.2467037349
268	0.245880139
269	0.2450809542
270	0.244495324
271	0.2440198855
272	0.2431973042
273	0.2425215429
274	0.2419280297
275	0.2414022242
276	0.2409213981
277	0.2403140042
278	0.2394331563
279	0.2390378024
280	0.2385167617
281	0.2377230222
282	0.2369005445
283	0.2362143341
284	0.2357189988
285	0.2349748646
286	0.2343420309
287	0.2335500727
288	0.2329839035
289	0.2323967043
290	0.2318952659
291	0.2309765552
292	0.2304756406
293	0.2296733498
294	0.2291791541
295	0.2286019836
296	0.2280564229
297	0.2273711461
298	0.2266471648
299	0.2263484558
300	0.2258754513
301	0.2251774175
302	0.2245554414
303	0.2237504603
304	0.223186238
305	0.222536731
306	0.2222086649
307	0.2216646486
308	0.2211474524
309	0.2204431703
310	0.2198154732
311	0.2195234182
312	0.2188009351
313	0.2180998916
314	0.2177654129
315	0.2171867956
316	0.2164951913
317	0.2159103183
318	0.2152441176
319	0.2146602324
320	0.2140515665
321	0.2134746346
322	0.2129877067
323	0.2124911539
324	0.2119042559
325	0.2113309095
326	0.2106253533
327	0.2101456491
328	0.209516219
329	0.2087832264
330	0.2081654692
331	0.2075576956
332	0.2070562524
333	0.2066704014
334	0.2058530826
335	0.2053201348
336	0.2050180823
337	0.2045369393
338	0.2036219463
339	0.2029958018
340	0.2023505865
341	0.2020935779
342	0.2014333299
343	0.2008075487
344	0.2003167233
345	0.199689894
346	0.1992715785
347	0.199025479
348	0.1984123447
349	0.1977104622
350	0.1971995034
351	0.1967681181
352	0.1960027179
353	0.1957548161
354	0.1952616703
355	0.1947418389
356	0.1942342084
357	0.1936312899
358	0.1931133481
359	0.1923923008
360	0.1919020255
361	0.1911582104
362	0.1908087125
363	0.1900560041
364	0.1894331536
365	0.1886836198
366	0.1881082562
367	0.1875388023
368	0.1869712646
369	0.1863843411
370	0.1857433861
371	0.1854597747
372	0.1848831048
373	0.1844058752
374	0.1837659759
375	0.1830465343
376	0.1824220912
377	0.1819805361
378	0.1812593273
379	0.1807030154
380	0.1803599456
381	0.1798824629
382	0.1792051016
383	0.178808794
384	0.1781700628
385	0.1776617661
386	0.1771209117
387	0.1765588758
388	0.176136413
389	0.1757127154
390	0.1750959901
391	0.1748623264
392	0.1743157653
393	0.1738758213
394	0.1732643625
395	0.1727628444
396	0.1722964475
397	0.1718888601
398	0.171334471
399	0.1707210572
400	0.1700414617
401	0.1695966095
402	0.1692050675
403	0.168583538
404	0.1680598287
405	0.1675319855
406	0.1670682492
407	0.1665329119
408	0.1660938017
409	0.1655882419
410	0.1651939636
411	0.1644475861
412	0.1639938838
413	0.1635275302
414	0.162923482
415	0.1623104081
416	0.1617176248
417	0.161426488
418	0.1609944215
419	0.1604464192
420	0.1600274328
421	0.1595606375
422	0.1592152403
423	0.1587133645
424	0.1583550116
425	0.157865462
426	0.1572515713
427	0.1569042991
428	0.1564578225
429	0.1561877488
430	0.1557789194
431	0.1553990342
432	0.154995101
433	0.1546410304
434	0.1542294976
435	0.1537040033
436	0.1532694862
437	0.1528043981
438	0.1524419803
439	0.1519988938
440	0.1514461255
441	0.151063061
442	0.150692343
443	0.1504256887
444	0.1502274098
445	0.1498109622
446	0.1492667259
447	0.148656761
448	0.1484015864
449	0.1480677728
450	0.1477196154
451	0.1474740915
452	0.1470162648
453	0.1466795145
454	0.1463545214
455	0.1458660782
456	0.1454638737
457	0.1451373487
458	0.1448237137
459	0.144590826
460	0.1441364496
461	0.1438543594
462	0.1434488281
463	0.1430705203
464	0.1427517563
465	0.1424198408
466	0.1419374829
467	0.1416176152
468	0.1411371782
469	0.1407337738
470	0.1403908276
471	0.1400109406
472	0.1397273974
473	0.1392638206
474	0.1388622274
475	0.1384624948
476	0.1378696044
477	0.1375079011
478	0.1371407866
479	0.1369213806
480	0.1364070417
481	0.1360632082
482	0.1356700453
483	0.135354721
484	0.1349359165
485	0.134501569
486	0.1341577631
487	0.1337515069
488	0.1332504933
489	0.1328691373
490	0.1325554551
491	0.1322046214
492	0.1318213712
493	0.1315100961
494	0.1311909712
495	0.130877189
496	0.1304938084
497	0.13008312
498	0.1297592119
499	0.1294971813
