iter	Logloss
0	0.6852582661
1	0.6765917434
2	0.6689423064
3	0.6601448702
4	0.652368092
5	0.6458600931
6	0.6400226988
7	0.6333259786
8	0.6266259209
9	0.6210546255
10	0.6150879309
11	0.6095924452
12	0.6041581308
13	0.5988243903
14	0.594430067
15	0.5904507338
16	0.5858223794
17	0.5803930734
18	0.5752799164
19	0.5715233282
20	0.5673976107
21	0.562946859
22	0.5587641107
23	0.5556807861
24	0.5522705248
25	0.5491127316
26	0.5452390665
27	0.5421409286
28	0.5390361712
29	0.5356898995
30	0.5319925062
31	0.5285366926
32	0.525368923
33	0.5213881407
34	0.5188890682
35	0.5161006323
36	0.5138511408
37	0.5112637331
38	0.5084403921
39	0.5057553027
40	0.5031370576
41	0.5003488907
42	0.4980835612
43	0.495678155
44	0.4933240683
45	0.4902679056
46	0.4881901086
47	0.4859364439
48	0.4836992341
49	0.4815942215
50	0.4794414475
51	0.4770654994
52	0.4758139873
53	0.4737766534
54	0.4720383973
55	0.4694606256
56	0.4676683443
57	0.4654581727
58	0.4634636571
59	0.4613531176
60	0.4593085835
61	0.4571777452
62	0.4548092896
63	0.4526191768
64	0.4508441503
65	0.4483481627
66	0.4469734438
67	0.4446812833
68	0.443102051
69	0.4413126743
70	0.4393765367
71	0.4378006191
72	0.4359025867
73	0.4344043718
74	0.4329508226
75	0.4315583499
76	0.4297321086
77	0.428372437
78	0.4272450047
79	0.4259323755
80	0.4241533899
81	0.423119745
82	0.4217273109
83	0.4202516353
84	0.418526444
85	0.4167581966
86	0.4157978649
87	0.4141693103
88	0.4126768451
89	0.4114315546
90	0.4103893616
91	0.408715511
92	0.4071259261
93	0.4060747336
94	0.404578731
95	0.4031729689
96	0.4019286394
97	0.4006550576
98	0.3995788872
99	0.3980172559
100	0.3967551577
101	0.395657871
102	0.3944640131
103	0.3928580069
104	0.3914015153
105	0.3905357634
106	0.3891786642
107	0.3884109531
108	0.3870461357
109	0.385632636
110	0.3844231789
111	0.3830283474
112	0.3812889211
113	0.3801261795
114	0.3792090996
115	0.377724907
116	0.3763751691
117	0.374786761
118	0.373705606
119	0.3726691741
120	0.3716254544
121	0.3703530973
122	0.3691071163
123	0.3677464426
124	0.3665541664
125	0.3651357787
126	0.3638012324
127	0.3626628645
128	0.3616827931
129	0.3606288792
130	0.3596822151
131	0.3588994441
132	0.3579168144
133	0.3565220952
134	0.3550971294
135	0.3540296606
136	0.3528934393
137	0.3520755142
138	0.3511525254
139	0.349824973
140	0.3487770103
141	0.3477454018
142	0.3469526946
