iter	Passed	Remaining
300	6225	4116
301	6245	4094
302	6265	4073
303	6285	4052
304	6303	4030
305	6322	4008
306	6340	3985
307	6358	3963
308	6378	3942
309	6396	3920
310	6415	3898
311	6434	3877
312	6454	3855
313	6471	3833
314	6491	3812
315	6509	3790
316	6527	3768
317	6545	3746
318	6563	3724
319	6582	3702
320	6603	3682
321	6623	3661
322	6642	3639
323	6661	3618
324	6681	3597
325	6701	3576
326	6720	3555
327	6740	3534
328	6760	3513
329	6778	3491
330	6798	3471
331	6818	3450
332	6836	3428
333	6855	3407
334	6874	3385
335	6892	3364
336	6912	3343
337	6931	3322
338	6950	3300
339	6969	3279
340	6989	3258
341	7006	3237
342	7027	3216
343	7045	3195
344	7064	3173
345	7082	3152
346	7101	3131
347	7118	3109
348	7137	3087
349	7155	3066
350	7174	3045
351	7193	3024
352	7212	3003
353	7231	2982
354	7250	2961
355	7269	2940
356	7288	2919
357	7307	2898
358	7326	2877
359	7351	2858
360	7370	2837
361	7390	2817
362	7412	2797
363	7432	2776
364	7452	2756
365	7473	2736
366	7493	2715
367	7514	2695
368	7535	2675
369	7555	2654
370	7576	2634
371	7596	2613
372	7615	2592
373	7635	2572
374	7653	2551
375	7675	2531
376	7698	2511
377	7718	2491
378	7739	2471
379	7763	2451
380	7781	2430
381	7803	2410
382	7823	2389
383	7842	2369
384	7861	2348
385	7879	2326
386	7899	2306
387	7918	2285
388	7936	2264
389	7954	2243
390	7972	2222
391	7993	2202
392	8012	2181
393	8030	2160
394	8047	2139
395	8066	2118
396	8088	2098
397	8106	2077
398	8124	2056
399	8142	2035
400	8162	2015
401	8179	1993
402	8197	1973
403	8215	1952
404	8233	1931
405	8252	1910
406	8270	1889
407	8289	1869
408	8307	1848
409	8326	1827
410	8345	1807
411	8363	1786
412	8381	1765
413	8398	1744
414	8417	1723
415	8435	1703
416	8454	1682
417	8472	1662
418	8490	1641
419	8509	1620
420	8528	1600
421	8546	1579
422	8564	1559
423	8581	1538
424	8598	1517
425	8617	1496
426	8635	1476
427	8652	1455
428	8670	1434
429	8687	1414
430	8704	1393
431	8721	1372
432	8743	1352
433	8761	1332
434	8781	1312
435	8799	1291
436	8818	1271
437	8837	1250
438	8855	1230
439	8874	1210
440	8892	1189
441	8910	1169
442	8929	1148
443	8947	1128
444	8965	1108
445	8985	1087
446	9002	1067
447	9020	1047
448	9037	1026
449	9054	1006
450	9071	985
451	9092	965
452	9110	945
453	9126	924
454	9144	904
455	9161	884
456	9179	863
457	9198	843
458	9216	823
459	9233	802
460	9251	782
461	9269	762
462	9287	742
463	9305	721
464	9322	701
465	9340	681
466	9357	661
467	9374	640
468	9393	620
469	9424	601
470	9458	582
471	9485	562
472	9505	542
473	9528	522
474	9549	502
475	9569	482
476	9593	462
477	9613	442
478	9641	422
479	9673	403
480	9703	383
481	9725	363
482	9743	342
483	9762	322
484	9781	302
485	9807	282
486	9825	262
487	9843	242
488	9861	221
489	9880	201
490	9898	181
491	9917	161
492	9935	141
493	9953	120
494	9972	100
495	9990	80
496	10008	60
497	10027	40
498	10045	20
499	10064	0
